SP	SP3055112169	SP 1 442 53 	SP0960017630	SP4180717139	SP8 7183  6 	SP6 7  75  8	SP671913610 	SP9089025596	SP9746508 31	SP 291214979	SP 77 7 7853	SP965 3902 0	SP77  231804	SP0024330203	SP4473411312	SP  4298 6  	SP 85356 19 	SP 15448328 	SP8947578506	SP509 5862 2
SP3055112169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP 1 442 53 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP0960017630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP4180717139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP8 7183  6 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP6 7  75  8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP671913610 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP9089025596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP9746508 31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP 291214979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP 77 7 7853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP965 3902 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP77  231804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP0024330203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP4473411312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP  4298 6  	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP 85356 19 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP 15448328 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP8947578506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP509 5862 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
